barrio_key,barrio_nombre,tree_density,refugios_300m,refugios_400m,refugios_proximos,fuentes_400m,fuentes_proximas,no2_medio,pop_65plus,coverage_ratio_300m,coverage_ratio_400m,coverage_ratio,coverage_ratio_suavizado,vulnerability_index_raw,vulnerability_index,log_pop,log_pop_norm,priority_score,priority_score_norm
2003,Amposta,5228.895183723292,0,0,0,8,8,22.938238100244995,1683,0.0,0.0,0.0,0.05941770647653,2.66995143684582,0.4346002797710695,7.428927194802272,0.7535482853120465,0.32749229561762516,0.36335362033544755
1107,Abrantes,7056.250118106742,0,0,0,9,9,28.145777001975286,5795,0.0,0.0,0.0,0.0172562553925798,1.9619570691105608,0.3193567790662088,8.664923303440572,0.8789207279129655,0.28068929272081233,0.31142555737733946
2002,Hellín,6092.030248926265,0,0,0,7,7,22.621765536116484,2010,0.0,0.0,0.0,0.0497512437810945,2.1342186372503766,0.3473965870845186,7.606387389772652,0.7715488420713904,0.26803343450461325,0.29738384719714867
1207,Pradolongo,7238.611566594998,0,0,0,3,3,26.945813796973518,2964,0.0,0.0,0.0,0.0337381916329284,1.752757625652008,0.2853044231318078,7.994632311431825,0.8109302072841326,0.2313619749893568,0.25669676003155945
1402,Horcajo,7605.114429497612,0,0,0,7,7,24.526827059521697,970,0.0,0.0,0.0,0.1030927835051546,1.3657283329989738,0.2223058844522742,6.878326468291325,0.6976984670981619,0.1551024748092528,0.17208663073628808
1105,Puerta Bonita,2155.877678110747,0,1,1,3,3,26.14288740202724,6593,0.0,0.1516760200212346,0.1516760200212346,0.1516760200212346,0.5095655113536702,0.082944322784243,8.793915423631676,0.892004957767416,0.0739867471422056,0.08208850342651208
1802,Santa Eugenia,2468.473961403941,0,1,1,3,3,25.7408634663891,6800,0.0,0.1470588235294117,0.1470588235294117,0.1470588235294117,0.4811699719858255,0.0783222501940035,8.824824939175638,0.8951402439032493,0.07010939814171162,0.07778657383767539
505,Nueva España,2292.057009313756,1,1,1,4,4,24.813351317117373,5355,0.1867413632119514,0.1867413632119514,0.1867413632119514,0.1867413632119514,0.4750169946467572,0.0773207017627918,8.585972706811063,0.8709124266933553,0.0673395600058662,0.07471343065882725
1505,San Pascual,1949.2277248580765,1,1,1,4,4,22.59765021218252,5230,0.1912045889101338,0.1912045889101338,0.1912045889101338,0.1912045889101338,0.4523950613752794,0.0736384256011096,8.562357743370612,0.8685170585948889,0.06395622880263427,0.07095961520136815
902,Argüelles,2731.2408423888683,1,1,1,7,7,24.00436165450406,6150,0.1626016260162601,0.1626016260162601,0.1626016260162601,0.1626016260162601,0.432593498041196,0.0704152340306053,8.724369949208368,0.8849506588587441,0.062314007749076826,0.069137566337361
1002,Puerta del Ángel,2704.8692170280165,0,1,1,2,2,22.86187616546696,8782,0.0,0.113869278068777,0.113869278068777,0.113869278068777,0.41354472008891,0.0673145768002474,9.080573313917117,0.921081910069075,0.062002238974663317,0.06879165800789311
702,Arapiles,2912.3371928849624,1,1,1,5,5,24.143656159387263,5996,0.1667778519012675,0.1667778519012675,0.1667778519012675,0.1667778519012675,0.423932128141988,0.0690053830013134,8.69901462316851,0.8823787582383921,0.060888884164463565,0.06755638772392801
402,Goya,3189.693254810576,0,1,1,5,5,24.34571845879558,7376,0.0,0.1355748373101952,0.1355748373101952,0.1355748373101952,0.4102270637903916,0.0667745466200641,8.906122330884303,0.9033865907196872,0.06032323001795252,0.06692879286217737
304,Ibiza,2626.1834578031653,1,1,1,6,6,22.687705840099383,5604,0.1784439685938615,0.1784439685938615,0.1784439685938615,0.1784439685938615,0.4149555135887994,0.0675442181492584,8.63141433550626,0.8755217680541121,0.059136433295871364,0.06561203857103544
2103,Casco Histórico de Barajas,2963.264993972637,1,1,1,20,20,27.22916088856641,1664,0.6009615384615384,0.6009615384615384,0.6009615384615384,0.6009615384615384,0.4745665091861738,0.0772473741716977,7.417580402414544,0.7523973309786206,0.05812071815189219,0.06448509977054137
1202,Orcasur,2855.082462186378,1,1,1,2,2,25.543361876393146,2308,0.4332755632582322,0.4332755632582322,0.4332755632582322,0.4332755632582322,0.4522459467557292,0.0736141535284118,7.744569809354496,0.7855652838274789,0.057828723410266424,0.06416113078590147
104,Justicia,2808.983095602214,1,1,1,10,10,24.21018498004249,3014,0.33178500331785,0.33178500331785,0.33178500331785,0.33178500331785,0.4314936737711589,0.0702362105739008,8.011355109161286,0.8126264731411289,0.05707580408546667,0.06332576468371402
103,Cortes,2289.3376641753625,0,1,1,10,10,23.487156886254574,1977,0.0,0.5058168942842691,0.5058168942842691,0.5058168942842691,0.4497920447251568,0.0732147206045391,7.589841512182657,0.7698705219909827,0.05636585516924047,0.06253807437033575
1206,Zofío,3932.6874688650414,1,1,1,4,4,28.892459982679306,2652,0.3770739064856712,0.3770739064856712,0.3770739064856712,0.3770739064856712,0.431990195759342,0.0703170317424056,7.88344635413774,0.7996521337113619,0.0562291644690642,0.06238641565518471
703,Trafalgar,3319.2859979027085,0,1,1,10,10,23.879186774312146,5491,0.0,0.1821161901293025,0.1821161901293025,0.1821161901293025,0.3944590918497915,0.0642079212791543,8.61104776688786,0.8734558987222895,0.05608278758597373,0.06222401009292855
1404,Media Legua,3359.467717211641,1,1,1,10,10,24.11440000479005,5184,0.1929012345679012,0.1929012345679012,0.1929012345679012,0.1929012345679012,0.3958687995425856,0.0644373858863486,8.553525120663627,0.8676211273895982,0.05590723738875236,0.062029236656836906
1204,Almendrales,3326.3256641726707,1,1,1,5,5,25.02487250222244,3636,0.275027502750275,0.275027502750275,0.275027502750275,0.275027502750275,0.4129344964737027,0.0672152478947729,8.19891444498699,0.831651429531146,0.055899656997978234,0.062020826192016223
1503,Quintana,2731.22978304594,1,1,1,6,6,21.17689422315668,5699,0.1754693805930865,0.1754693805930865,0.1754693805930865,0.1754693805930865,0.3816390223523743,0.0621211395821643,8.648221453822641,0.877226586913719,0.05449431525085272,0.06046159558274776
906,El Plantío,650.2798553771185,0,1,1,1,1,21.680225676340264,655,0.0,1.5267175572519085,1.5267175572519085,1.5267175572519085,0.5059835400553025,0.082361268835426,6.486160788944089,0.6579194024389868,0.05418707677632022,0.06012071363370163
1803,Ensanche de Vallecas,3884.803634120903,0,1,1,1,1,25.929451700588668,3990,0.0,0.2506265664160401,0.2506265664160401,0.2506265664160401,0.3908607023434351,0.0636221948630831,8.291797105048733,0.8410729203318257,0.05351090523141378,0.0593704994085205
404,Guindalera,4032.9673747087454,1,1,1,5,5,23.678542190978604,10274,0.0973330737784699,0.0973330737784699,0.0973330737784699,0.0973330737784699,0.3479664796497294,0.0566401048797275,9.237469039364436,0.9369965235500547,0.053071581365815156,0.05888306834769516
2006,Rejas,2311.388397328389,1,1,1,3,3,21.59307691019725,2428,0.4118616144975288,0.4118616144975288,0.4118616144975288,0.4118616144975288,0.4123027804355419,0.067112420568728,7.795234929002173,0.7907044665162457,0.05306609070240999,0.05887697644125032
1605,Apóstol Santiago,3222.2193753263546,1,1,1,15,15,22.66459113137264,3590,0.2785515320334262,0.2785515320334262,0.2785515320334262,0.2785515320334262,0.3800163659054067,0.06185701232648,8.186185994226083,0.8303603276002681,0.05136360901978976,0.056988068240316284
201,Imperial,3968.2567764288,1,1,1,4,4,24.15056386649666,5783,0.1729206294310911,0.1729206294310911,0.1729206294310911,0.1729206294310911,0.3588961201364442,0.0584191727488177,8.6628507638386,0.8787105012379214,0.05133354056801832,0.05695470720875848
205,Delicias,2983.846116812416,1,1,1,3,3,20.1857627959566,5496,0.1819505094614265,0.1819505094614265,0.1819505094614265,0.1819505094614265,0.3507483511717346,0.0570929229067022,8.61195776786066,0.8735482040652689,0.049873420269986556,0.055334699643650564
1001,Los Cármenes,4373.842857220189,0,1,1,4,4,24.801182772999443,3371,0.0,0.2966478789676653,0.2966478789676653,0.2966478789676653,0.3428632086253887,0.0558094219750429,8.123261319121745,0.8239776050637131,0.045985713858986005,0.05102127847881277
1406,Vinateros,4839.051720636373,0,1,1,7,7,25.539363510201063,4650,0.0,0.2150537634408602,0.2150537634408602,0.2150537634408602,0.3227108760156275,0.0525291340756538,8.444837529224097,0.8565964738943725,0.04499627102592978,0.049923488880960036
302,Adelfas,4176.100401773349,1,1,1,5,5,22.438778813306037,4611,0.2168726957276079,0.2168726957276079,0.2168726957276079,0.2168726957276079,0.3215413809984713,0.052338769990887,8.436416881388949,0.8557423310859961,0.044788501038175416,0.049692967496921904
1003,Lucero,4618.238220318574,1,1,1,5,5,22.74161728542698,8200,0.1219512195121951,0.1219512195121951,0.1219512195121951,0.1219512195121951,0.3001897963634584,0.048863274321612,9.012011377036412,0.9141273756363947,0.04466725672061641,0.04955844658659917
